一	1
丁	1 2
丂	1 6
七	七
丄	丄
丅	丅
丆	丆
万	1 万无横
丈	丈
三	三
上	上
下	下
丌	丌
不	丆 2 4
与	与
丏	丅 6 5
丐	丅 1 6
丑	5 里无日
丒	刃 1
专	二 6 4
且	见二 三
丕	丆 2 4 1
世	艹 1 6
丗	1 三竖 1
丘	丘
丙	1 内
业	业无横 1
丛	人 人 1
东	东
丝	丝左角 丝左角 1
丞	5 2 水字框 1
丟	王 厶
丠	2 二 匕 1
両	1 冂 山
丢	3 土 厶
丣	丌 1 6 叚右角
两	1 冂 人 人
严	1 业无横 厂
並	丷 1 业无横 1
丧	十 丷 1 6 水字边
丨	2
丩	丩
个	个
丫	丷 2
丬	冫 2
中	口 2
丮	5 举字底
丯	彡 2
丰	三 2
丱	5 乔字底 2 1
串	口 口 2
丳	口 口 乔字底
临	临字旁 临右角 临下角
丵	业无横 1 丷 干
丶	4
丷	丷
丸	丸
丹	周字框 亠
为	刀中 5 4
主	亠 土
丼	二 乔字底 4
丽	1 冂 4 冂 4
举	学字头 1 八 举字底
丿	3
乀	4
乁	4
乂	乂
乃	乃
乄	5 4
久	久
乆	6 人
乇	3 七
么	么
义	4 乂
乊	3 丷
之	4 5 4
乌	乌
乍	卧人 2 二
乎	3 丷 于无横
乏	3 4 5 4
乐	乐二 小
乑	乑
乒	丘 3
乓	丘 4
乔	夭 乔字底
乕	反字框 二 巾
乖	3 十 2 二 匕
乗	千二 龷 木无横
乘	3 十 2 二 匕 全字头
乙	5
乚	6
乛	5
乜	5 6
九	3 5
乞	卧人 5
也	韦无二 6
习	习
乡	丝左角 3
乢	山 6
乣	幺 6
乤	下 5
乥	3 丷 5
书	5 韦无二 4
乧	冬字底 十 5
乨	厶 口 6
乩	卢字头 口 6
乪	5 田
乫	5 3 口 5
乬	1 叚右角 6 5
乭	丆 口 5
乮	卬字旁 3 卩 5
乯	3 丷 于无横 5
买	5 冬字底 大
乱	3 十 口 6
乲	冫 欠 5
乳	爫 5 子字底 6
乴	扌 反字框 丅 5
乵	辛 6
乶	1 青字底 2 4 5
乷	氵 少三 3 5
乸	韦无二 6 6 5 亠 4
乹	十 早 6
乺	反字框 叚右角 反字框 丅 5
乻	方 全字头 冬字底 5
乼	氵 亠 土 5
乽	十 左字框 日 5
乾	十 早 卧人 5
乿	爫 幺 小 6
亀	负字头 日 日 6
亁	十 日 干 卧人 5
亂	爫 5 4 冂 厶 又 6
亃	丷 木 久二 4 牙二 2 6
亄	士 冖 1 口 丷 1 6
亅	2
了	5 2
亇	负字头 2
予	5 4 5 2
争	负字头 聿三 2
亊	1 丷 聿三 2
事	1 口 聿三 2
二	二
亍	二 2
于	1 于无横
亏	二 6
亐	二 6
云	二 厶
互	1 6 5 1
亓	1 丌
五	丅 5 1
井	二 乔字底
亖	二 二
亗	山 二
亘	1 日 1
亙	丅 5 氵
亚	1 业无横 1
些	止 匕 二
亜	1 口 临字旁 1
亝	厶 厶 厶 二
亞	1 亞无二 1
亟	5 2 口 又 1
亠	亠
亡	亠 6
亢	亠 几
亣	4 丌
交	六 乂
亥	亠 亥无亠无人 人
亦	亠 亦字底
产	立无横 厂
亨	享字头 5 2
亩	亠 田
亪	亠 亦字底 4
享	享字头 5 子字底
京	京
亭	享字头 冖 1 2
亮	享字头 冖 几
亯	享字头 日
亰	亠 日 小
亱	亠 亻 日 1
亲	立无横 1 朩
亳	享字头 冖 3 七
亴	享字头 冖 土 3 5
亵	亠 扌 丸 3 6 水字边
亶	亠 回 日 1
亷	立无横 厂 聿三 兼无䒑无彐
亸	享字头 5 子字底 丷 日 十
亹	亠 盥左角 同 盥右角 冖 见二 三
人	人
亻	亻
亼	亼
亽	亽
亾	人 6
亿	亻 5
什	亻 十
仁	亻 二
仂	亻 5 3
仃	亻 1 2
仄	厂 人
仅	亻 又
仆	亻 2 4
仇	亻 3 5
仈	亻 八
仉	亻 几
今	亽 5
介	全字头 乔字底
仌	人 人
仍	亻 乃
从	人 人
仏	亻 厶
仐	全字头 十
仑	仑
